City,Latitude,Longitude,Crime_Type,Date,Time,Severity_Score,Weather_Condition,Patrol_Presence
Jamwa Ramgarh,26.964,75.876,Pickpocket,05-03-2023,16:32,5,Foggy,Yes
Shahpura,27.3913,75.9595,Burglary,21-01-2023,21:48,8,Clear,Yes
Raja Park,26.8996,75.8277,Fraud,06-09-2023,15:38,7,Foggy,No
Jaipur,26.9124,75.7873,Robbery,05-03-2023,15:24,3,Cloudy,No
Kotputli,27.7025,76.1996,Pickpocket,30-07-2023,5:10,4,Rainy,No
Jagatpura,26.8626,75.847,Fraud,16-07-2023,4:15,2,Clear,No
Phulera,26.8732,75.2433,Robbery,18-01-2023,21:5,9,Stormy,No
Shahpura,27.3913,75.9595,Robbery,21-09-2023,14:12,4,Cloudy,Yes
Viratnagar,27.3189,76.1833,Murder,31-01-2023,5:59,7,Rainy,Yes
Amber,26.9948,75.8513,Theft,02-08-2023,3:1,9,Clear,No
Gopalpura,26.8815,75.789,Murder,19-06-2023,9:26,6,Rainy,No
Paota,27.3763,76.0405,Robbery,18-07-2023,21:39,7,Foggy,No
Ajmer Road,26.9117,75.7437,Burglary,15-03-2023,20:48,8,Rainy,No
Malviya Nagar,26.8526,75.818,Fraud,18-08-2023,18:25,5,Stormy,No
Ajmer Road,26.9117,75.7437,Murder,17-05-2023,23:35,10,Cloudy,No
Gopalpura,26.8815,75.789,Burglary,08-11-2023,2:36,3,Stormy,No
C-Scheme,26.9124,75.7873,Fraud,20-05-2023,11:58,6,Clear,Yes
C-Scheme,26.9124,75.7873,Theft,23-05-2023,18:2,9,Rainy,No
Kotputli,27.7025,76.1996,Theft,13-06-2023,17:17,2,Stormy,Yes
Phulera,26.8732,75.2433,Assault,19-11-2023,16:34,8,Clear,No
Phulera,26.8732,75.2433,Murder,06-08-2023,8:35,8,Stormy,Yes
Jagatpura,26.8626,75.847,Murder,05-02-2023,1:35,3,Stormy,Yes
Gopalpura,26.8815,75.789,Murder,08-05-2023,16:7,6,Rainy,Yes
Bassi,26.8394,76.0411,Murder,26-11-2023,15:35,3,Cloudy,No
Kotputli,27.7025,76.1996,Assault,15-08-2023,7:46,9,Clear,Yes
Tonk Road,26.8537,75.805,Vandalism,06-03-2023,10:21,8,Stormy,Yes
Gopalpura,26.8815,75.789,Murder,29-07-2023,1:47,5,Rainy,No
Jaipur,26.9124,75.7873,Assault,28-02-2023,6:27,9,Rainy,No
Jaipur,26.9124,75.7873,Vandalism,28-10-2023,21:45,4,Cloudy,No
Paota,27.3763,76.0405,Pickpocket,06-10-2023,17:16,4,Rainy,Yes
Mansarovar,26.8648,75.759,Assault,11-01-2023,14:14,3,Cloudy,Yes
Chomu,27.17,75.7221,Burglary,03-10-2023,10:51,4,Foggy,No
Kotputli,27.7025,76.1996,Assault,06-09-2023,9:45,10,Rainy,No
Amber,26.9948,75.8513,Burglary,26-08-2023,13:30,5,Rainy,Yes
Tonk Road,26.8537,75.805,Theft,19-11-2023,10:20,1,Clear,No
Sindhi Camp,26.9216,75.796,Theft,03-04-2023,4:14,5,Cloudy,No
Jamwa Ramgarh,26.964,75.876,Vandalism,17-12-2023,20:16,3,Stormy,Yes
Raja Park,26.8996,75.8277,Theft,21-04-2023,8:9,8,Foggy,No
Gopalpura,26.8815,75.789,Assault,15-09-2023,22:32,5,Rainy,Yes
Mauzmabad,26.5215,75.488,Murder,07-02-2023,5:39,8,Clear,No
Amber,26.9948,75.8513,Vandalism,05-09-2023,18:31,10,Rainy,No
Shahpura,27.3913,75.9595,Vandalism,06-02-2023,9:24,9,Cloudy,Yes
Raja Park,26.8996,75.8277,Murder,24-07-2023,16:53,7,Foggy,No
Amber,26.9948,75.8513,Assault,01-06-2023,19:49,3,Clear,No
Viratnagar,27.3189,76.1833,Theft,03-11-2023,8:44,7,Foggy,No
Sambhar,26.9131,75.1914,Fraud,13-05-2023,5:51,7,Foggy,No
C-Scheme,26.9124,75.7873,Burglary,03-04-2023,9:27,9,Rainy,Yes
Kishangarh-Renwal,26.7536,75.565,Pickpocket,22-07-2023,19:2,7,Foggy,No
Bapu Nagar,26.8926,75.812,Theft,16-05-2023,11:35,5,Rainy,Yes
C-Scheme,26.9124,75.7873,Theft,29-03-2023,18:19,1,Foggy,Yes
Amber,26.9948,75.8513,Fraud,26-03-2023,8:11,8,Cloudy,No
Tonk Road,26.8537,75.805,Vandalism,18-12-2023,11:15,7,Stormy,No
Kot Khawada,26.7972,75.67,Assault,26-08-2023,0:17,3,Clear,No
Malviya Nagar,26.8526,75.818,Fraud,13-03-2023,15:40,3,Clear,No
Gopalpura,26.8815,75.789,Pickpocket,27-10-2023,13:58,10,Rainy,Yes
Phulera,26.8732,75.2433,Robbery,22-09-2023,1:7,2,Clear,Yes
Gopalpura,26.8815,75.789,Robbery,10-02-2023,4:39,9,Clear,No
Tonk Road,26.8537,75.805,Assault,15-06-2023,9:34,1,Clear,Yes
Gopalpura,26.8815,75.789,Vandalism,25-06-2023,5:33,4,Clear,Yes
Phulera,26.8732,75.2433,Murder,24-02-2023,0:12,2,Foggy,No
Vaishali Nagar,26.922,75.7411,Pickpocket,16-11-2023,2:43,10,Cloudy,No
Phulera,26.8732,75.2433,Pickpocket,22-07-2023,23:15,3,Clear,Yes
C-Scheme,26.9124,75.7873,Burglary,27-03-2023,13:12,6,Stormy,Yes
Bassi,26.8394,76.0411,Fraud,17-06-2023,22:31,2,Foggy,No
Chomu,27.17,75.7221,Burglary,02-09-2023,15:36,5,Clear,No
Chaksu,26.6052,75.9481,Murder,21-05-2023,19:48,6,Foggy,No
Kotputli,27.7025,76.1996,Vandalism,13-09-2023,0:34,10,Rainy,Yes
Paota,27.3763,76.0405,Vandalism,20-11-2023,22:49,5,Stormy,No
Phulera,26.8732,75.2433,Vandalism,24-05-2023,6:18,1,Foggy,No
Gopalpura,26.8815,75.789,Pickpocket,20-04-2023,10:54,6,Rainy,Yes
Shahpura,27.3913,75.9595,Assault,16-01-2023,2:45,7,Cloudy,No
Gopalpura,26.8815,75.789,Robbery,03-12-2023,18:6,5,Stormy,Yes
Gopalpura,26.8815,75.789,Murder,01-10-2023,14:4,6,Rainy,Yes
Mauzamabad,26.5215,75.488,Burglary,09-10-2023,16:9,2,Stormy,Yes
Sanganer,26.8191,75.8028,Assault,21-12-2023,12:13,10,Stormy,Yes
Ajmer Road,26.9117,75.7437,Theft,24-08-2023,15:33,10,Clear,No
Shahpura,27.3913,75.9595,Fraud,04-03-2023,19:10,8,Foggy,Yes
Kotputli,27.7025,76.1996,Assault,17-06-2023,1:21,10,Foggy,No
Jamwa Ramgarh,26.964,75.876,Assault,11-02-2023,23:26,6,Stormy,No
Mansarovar,26.8648,75.759,Murder,15-09-2023,3:33,3,Cloudy,Yes
C-Scheme,26.9124,75.7873,Theft,09-02-2023,14:17,7,Cloudy,No
Kot Khawada,26.7972,75.67,Assault,24-03-2023,1:26,9,Cloudy,No
Kot Khawada,26.7972,75.67,Fraud,01-03-2023,14:41,4,Rainy,No
Sanganer,26.8191,75.8028,Assault,04-06-2023,19:39,8,Foggy,No
Bassi,26.8394,76.0411,Pickpocket,12-10-2023,0:38,6,Clear,Yes
Kishangarh-Renwal,26.7536,75.565,Assault,07-06-2023,23:41,2,Foggy,No
Sambhar,26.9131,75.1914,Murder,08-06-2023,17:58,7,Rainy,Yes
Mauzmabad,26.5215,75.488,Vandalism,11-02-2023,7:46,3,Foggy,Yes
Malviya Nagar,26.8526,75.818,Murder,01-06-2023,15:0,8,Stormy,No
Kishangarh-Renwal,26.7536,75.565,Pickpocket,16-04-2023,13:39,1,Rainy,Yes
Shahpura,27.3913,75.9595,Theft,06-11-2023,6:18,3,Cloudy,Yes
Phulera,26.8732,75.2433,Robbery,23-08-2023,21:43,1,Clear,No
Ajmer Road,26.9117,75.7437,Theft,18-05-2023,4:49,10,Cloudy,No
Vaishali Nagar,26.922,75.7411,Assault,26-10-2023,9:9,5,Rainy,Yes
Mansarovar,26.8648,75.759,Fraud,06-02-2023,16:41,8,Clear,No
Dudu,26.7043,75.585,Robbery,21-08-2023,4:31,9,Cloudy,No
Ajmer Road,26.9117,75.7437,Pickpocket,12-06-2023,7:26,10,Cloudy,No
Phulera,26.8732,75.2433,Assault,19-10-2023,16:26,9,Rainy,No
Bapu Nagar,26.8926,75.812,Vandalism,13-02-2023,22:31,6,Clear,Yes
Bassi,26.8394,76.0411,Theft,26-01-2023,16:52,1,Rainy,No
Sanganer,26.8191,75.8028,Burglary,17-08-2023,5:58,4,Foggy,Yes
Tonk Road,26.8537,75.805,Burglary,31-03-2023,19:11,10,Clear,No
Gopalpura,26.8815,75.789,Pickpocket,26-11-2023,16:12,2,Foggy,No
Chomu,27.17,75.7221,Murder,08-08-2023,20:5,6,Foggy,No
Amber,26.9948,75.8513,Pickpocket,01-03-2023,17:9,2,Foggy,No
Bassi,26.8394,76.0411,Murder,27-11-2023,9:31,1,Stormy,Yes
Tonk Road,26.8537,75.805,Pickpocket,23-02-2023,11:53,8,Stormy,Yes
Kishangarh-Renwal,26.7536,75.565,Fraud,13-08-2023,12:54,8,Cloudy,Yes
Tonk Road,26.8537,75.805,Murder,12-09-2023,13:21,4,Clear,No
Paota,27.3763,76.0405,Vandalism,23-10-2023,4:52,7,Rainy,No
Kotputli,27.7025,76.1996,Assault,12-10-2023,5:7,10,Rainy,No
Phagi,26.5873,75.6671,Vandalism,30-11-2023,12:28,9,Stormy,Yes
Tonk Road,26.8537,75.805,Burglary,14-07-2023,6:51,8,Stormy,No
Jamwa Ramgarh,26.964,75.876,Vandalism,09-05-2023,5:19,3,Stormy,No
Jamwa Ramgarh,26.964,75.876,Burglary,27-11-2023,21:19,2,Foggy,No
Kishangarh-Renwal,26.7536,75.565,Burglary,25-08-2023,4:29,3,Cloudy,Yes
Paota,27.3763,76.0405,Vandalism,12-09-2023,15:48,6,Clear,Yes
Mansarovar,26.8648,75.759,Fraud,31-01-2023,0:10,5,Foggy,No
Dudu,26.7043,75.585,Assault,05-05-2023,9:30,9,Foggy,No
Sambhar,26.9131,75.1914,Fraud,09-03-2023,0:30,10,Cloudy,Yes
Raja Park,26.8996,75.8277,Fraud,26-04-2023,18:44,3,Stormy,Yes
Kishangarh-Renwal,26.7536,75.565,Assault,09-10-2023,15:0,6,Foggy,No
Sanganer,26.8191,75.8028,Theft,14-05-2023,15:36,7,Stormy,Yes
Shahpura,27.3913,75.9595,Murder,02-12-2023,0:45,3,Foggy,No
Mauzmabad,26.5215,75.488,Fraud,11-01-2023,2:6,6,Clear,No
Sanganer,26.8191,75.8028,Vandalism,27-11-2023,6:50,7,Clear,No
Jamwa Ramgarh,26.964,75.876,Burglary,26-10-2023,14:53,5,Rainy,Yes
Kot Khawada,26.7972,75.67,Robbery,28-06-2023,11:15,8,Stormy,Yes
Jaipur,26.9124,75.7873,Robbery,11-05-2023,6:19,3,Foggy,Yes
Raja Park,26.8996,75.8277,Murder,23-07-2023,22:42,6,Stormy,No
Bassi,26.8394,76.0411,Burglary,23-10-2023,12:17,8,Stormy,Yes
Sanganer,26.8191,75.8028,Vandalism,25-09-2023,1:32,10,Clear,No
Jagatpura,26.8626,75.847,Fraud,02-04-2023,16:53,2,Foggy,Yes
Bapu Nagar,26.8926,75.812,Fraud,31-03-2023,8:54,9,Rainy,Yes
Kotputli,27.7025,76.1996,Theft,17-04-2023,16:42,2,Foggy,Yes
Malviya Nagar,26.8526,75.818,Theft,24-09-2023,11:10,1,Foggy,No
Sambhar,26.9131,75.1914,Assault,13-10-2023,8:50,8,Cloudy,No
Gopalpura,26.8815,75.789,Burglary,23-11-2023,19:51,7,Cloudy,Yes
Vaishali Nagar,26.922,75.7411,Fraud,29-09-2023,3:46,1,Stormy,No
Paota,27.3763,76.0405,Assault,25-08-2023,22:10,1,Rainy,No
Shahpura,27.3913,75.9595,Fraud,22-06-2023,12:16,3,Cloudy,Yes
Paota,27.3763,76.0405,Murder,20-09-2023,13:4,1,Cloudy,No
Shahpura,27.3913,75.9595,Vandalism,20-03-2023,10:11,10,Stormy,No
Sambhar,26.9131,75.1914,Assault,01-07-2023,16:32,5,Clear,Yes
Jaipur,26.9124,75.7873,Theft,13-08-2023,12:47,2,Stormy,Yes
Sanganer,26.8191,75.8028,Murder,29-07-2023,10:19,7,Stormy,Yes
Sambhar,26.9131,75.1914,Theft,01-04-2023,8:4,5,Stormy,Yes
Sambhar,26.9131,75.1914,Fraud,01-08-2023,20:42,5,Rainy,No
Chaksu,26.6052,75.9481,Pickpocket,08-06-2023,7:27,1,Foggy,Yes
Phulera,26.8732,75.2433,Murder,12-09-2023,18:1,8,Stormy,Yes
Gopalpura,26.8815,75.789,Vandalism,20-09-2023,15:23,8,Cloudy,No
Kishangarh-Renwal,26.7536,75.565,Fraud,10-05-2023,19:9,6,Rainy,No
Kishangarh-Renwal,26.7536,75.565,Theft,22-02-2023,2:13,8,Foggy,No
Kishangarh-Renwal,26.7536,75.565,Robbery,13-01-2023,9:30,10,Clear,No
Phulera,26.8732,75.2433,Fraud,14-11-2023,11:10,1,Rainy,Yes
Shahpura,27.3913,75.9595,Theft,26-05-2023,22:43,7,Rainy,Yes
Ajmer Road,26.9117,75.7437,Burglary,01-08-2023,0:28,5,Stormy,No
Kotputli,27.7025,76.1996,Assault,29-05-2023,11:36,1,Cloudy,Yes
Ajmer Road,26.9117,75.7437,Assault,06-04-2023,14:31,8,Clear,Yes
Bapu Nagar,26.8926,75.812,Robbery,27-02-2023,19:12,3,Foggy,Yes
Mauzamabad,26.5215,75.488,Burglary,18-06-2023,8:26,8,Stormy,Yes
Shahpura,27.3913,75.9595,Burglary,05-06-2023,13:9,9,Rainy,Yes
Mauzamabad,26.5215,75.488,Assault,27-06-2023,3:51,3,Foggy,No
Gopalpura,26.8815,75.789,Burglary,24-10-2023,21:27,6,Foggy,Yes
Phagi,26.5873,75.6671,Burglary,20-02-2023,8:19,3,Rainy,Yes
Phagi,26.5873,75.6671,Robbery,11-05-2023,2:13,9,Rainy,Yes
Tonk Road,26.8537,75.805,Fraud,28-01-2023,21:9,8,Rainy,No
Bapu Nagar,26.8926,75.812,Theft,24-02-2023,10:16,6,Foggy,No
Vaishali Nagar,26.922,75.7411,Robbery,03-01-2023,13:22,9,Foggy,No
Gopalpura,26.8815,75.789,Burglary,04-04-2023,7:30,8,Clear,No
Gopalpura,26.8815,75.789,Vandalism,11-06-2023,5:5,6,Cloudy,Yes
Gopalpura,26.8815,75.789,Pickpocket,05-01-2023,5:46,2,Rainy,Yes
Kishangarh-Renwal,26.7536,75.565,Murder,13-11-2023,20:34,10,Stormy,No
Paota,27.3763,76.0405,Robbery,28-11-2023,3:53,6,Foggy,Yes
Mansarovar,26.8648,75.759,Pickpocket,17-04-2023,15:14,8,Cloudy,Yes
Shahpura,27.3913,75.9595,Murder,01-12-2023,10:16,5,Rainy,No
Viratnagar,27.3189,76.1833,Burglary,03-08-2023,10:23,6,Rainy,No
Jaipur,26.9124,75.7873,Pickpocket,05-03-2023,6:38,9,Foggy,Yes
Mansarovar,26.8648,75.759,Robbery,09-10-2023,4:47,10,Foggy,No
Sindhi Camp,26.9216,75.796,Burglary,12-08-2023,21:9,9,Cloudy,Yes
Sindhi Camp,26.9216,75.796,Murder,03-04-2023,4:20,7,Stormy,Yes
Gopalpura,26.8815,75.789,Assault,22-03-2023,16:46,5,Cloudy,No
Dudu,26.7043,75.585,Assault,28-02-2023,14:57,10,Foggy,Yes
Mansarovar,26.8648,75.759,Robbery,30-01-2023,4:5,8,Rainy,No
Sambhar,26.9131,75.1914,Robbery,31-03-2023,19:23,8,Cloudy,No
Gopalpura,26.8815,75.789,Burglary,15-10-2023,16:57,9,Clear,No
Dudu,26.7043,75.585,Assault,02-01-2023,16:46,3,Foggy,No
Kishangarh-Renwal,26.7536,75.565,Vandalism,02-07-2023,21:53,6,Clear,Yes
Ajmer Road,26.9117,75.7437,Fraud,18-06-2023,3:53,4,Clear,Yes
Malviya Nagar,26.8526,75.818,Fraud,01-10-2023,3:36,6,Clear,Yes
Chaksu,26.6052,75.9481,Fraud,23-12-2023,19:34,7,Cloudy,Yes
Viratnagar,27.3189,76.1833,Burglary,01-12-2023,5:27,4,Rainy,Yes
Chaksu,26.6052,75.9481,Pickpocket,05-06-2023,16:38,4,Cloudy,Yes
Gopalpura,26.8815,75.789,Vandalism,30-09-2023,11:2,6,Cloudy,Yes
Raja Park,26.8996,75.8277,Fraud,07-10-2023,16:12,9,Cloudy,No
Gopalpura,26.8815,75.789,Burglary,30-11-2023,21:30,1,Cloudy,Yes
Viratnagar,27.3189,76.1833,Robbery,14-11-2023,14:12,7,Stormy,No
Kotputli,27.7025,76.1996,Theft,07-06-2023,7:36,7,Stormy,Yes
Phulera,26.8732,75.2433,Pickpocket,23-05-2023,19:7,2,Stormy,No
Bapu Nagar,26.8926,75.812,Assault,09-04-2023,13:6,8,Foggy,Yes
Amber,26.9948,75.8513,Murder,01-05-2023,16:29,10,Foggy,No
Chaksu,26.6052,75.9481,Vandalism,06-01-2023,17:4,8,Clear,Yes
Malviya Nagar,26.8526,75.818,Burglary,10-11-2023,15:53,2,Stormy,No
Bapu Nagar,26.8926,75.812,Robbery,11-08-2023,8:55,1,Cloudy,Yes
Viratnagar,27.3189,76.1833,Assault,26-07-2023,23:29,4,Clear,Yes
Vaishali Nagar,26.922,75.7411,Burglary,04-07-2023,20:35,6,Cloudy,Yes
Dudu,26.7043,75.585,Murder,12-09-2023,19:11,10,Cloudy,Yes
Jaipur,26.9124,75.7873,Fraud,22-08-2023,4:41,7,Clear,No
Shahpura,27.3913,75.9595,Fraud,23-10-2023,14:42,10,Stormy,No
Kotputli,27.7025,76.1996,Assault,09-08-2023,10:6,8,Rainy,No
Dudu,26.7043,75.585,Fraud,10-10-2023,23:27,7,Rainy,Yes
Mauzmabad,26.5215,75.488,Robbery,26-02-2023,12:11,7,Clear,Yes
Bassi,26.8394,76.0411,Pickpocket,15-11-2023,6:56,10,Foggy,Yes
C-Scheme,26.9124,75.7873,Murder,02-09-2023,20:3,8,Rainy,No
Kotputli,27.7025,76.1996,Theft,27-07-2023,19:52,7,Foggy,Yes
Mauzmabad,26.5215,75.488,Theft,25-05-2023,3:11,10,Rainy,Yes
Mauzamabad,26.5215,75.488,Robbery,19-11-2023,3:6,7,Stormy,Yes
Tonk Road,26.8537,75.805,Assault,29-12-2023,18:1,1,Rainy,Yes
Sindhi Camp,26.9216,75.796,Burglary,25-07-2023,4:32,2,Cloudy,No
C-Scheme,26.9124,75.7873,Vandalism,17-01-2023,3:56,4,Foggy,Yes
Shahpura,27.3913,75.9595,Vandalism,13-07-2023,9:1,7,Stormy,Yes
Tonk Road,26.8537,75.805,Murder,12-02-2023,18:12,3,Rainy,Yes
Tonk Road,26.8537,75.805,Burglary,08-01-2023,13:30,8,Rainy,No
Tonk Road,26.8537,75.805,Assault,22-01-2023,7:18,7,Foggy,No
Vaishali Nagar,26.922,75.7411,Burglary,29-05-2023,17:41,2,Stormy,Yes
Chomu,27.17,75.7221,Robbery,01-12-2023,6:40,6,Foggy,Yes
Jaipur,26.9124,75.7873,Theft,09-09-2023,19:47,8,Stormy,No
Mansarovar,26.8648,75.759,Burglary,30-07-2023,16:53,6,Clear,Yes
Amber,26.9948,75.8513,Burglary,14-04-2023,4:20,1,Clear,Yes
Phulera,26.8732,75.2433,Vandalism,06-04-2023,15:43,10,Stormy,Yes
Vaishali Nagar,26.922,75.7411,Pickpocket,28-09-2023,18:8,9,Stormy,No
Jagatpura,26.8626,75.847,Vandalism,28-02-2023,8:50,1,Clear,No
Jaipur,26.9124,75.7873,Pickpocket,17-12-2023,3:57,6,Clear,No
Kotputli,27.7025,76.1996,Vandalism,08-11-2023,10:35,8,Foggy,Yes
Kot Khawada,26.7972,75.67,Fraud,21-01-2023,18:10,8,Rainy,Yes
Ajmer Road,26.9117,75.7437,Burglary,05-05-2023,8:30,7,Clear,No
Phulera,26.8732,75.2433,Pickpocket,12-12-2023,2:24,4,Stormy,No
Phagi,26.5873,75.6671,Assault,30-09-2023,5:9,5,Rainy,No
Kishangarh-Renwal,26.7536,75.565,Theft,06-05-2023,11:15,5,Stormy,No
Sanganer,26.8191,75.8028,Theft,18-08-2023,5:20,6,Foggy,Yes
Kishangarh-Renwal,26.7536,75.565,Burglary,02-03-2023,4:20,2,Clear,Yes
Shahpura,27.3913,75.9595,Assault,23-05-2023,5:12,9,Rainy,Yes
Gopalpura,26.8815,75.789,Burglary,12-02-2023,16:54,4,Foggy,Yes
Kishangarh-Renwal,26.7536,75.565,Fraud,28-12-2023,0:46,7,Foggy,Yes
Shahpura,27.3913,75.9595,Pickpocket,30-01-2023,11:36,1,Rainy,No
Dudu,26.7043,75.585,Murder,06-04-2023,18:12,2,Foggy,Yes
Sindhi Camp,26.9216,75.796,Burglary,31-08-2023,0:12,9,Foggy,Yes
Jamwa Ramgarh,26.964,75.876,Theft,20-05-2023,1:54,3,Clear,Yes
Phulera,26.8732,75.2433,Burglary,16-05-2023,19:21,3,Stormy,No
Malviya Nagar,26.8526,75.818,Fraud,03-05-2023,6:52,9,Foggy,No
Jamwa Ramgarh,26.964,75.876,Theft,03-12-2023,11:45,6,Clear,Yes
Amber,26.9948,75.8513,Fraud,23-01-2023,23:37,4,Cloudy,Yes
Chomu,27.17,75.7221,Murder,02-09-2023,2:29,1,Stormy,Yes
Kot Khawada,26.7972,75.67,Robbery,22-02-2023,2:31,5,Stormy,No
Sanganer,26.8191,75.8028,Fraud,06-09-2023,11:22,6,Foggy,No
Jagatpura,26.8626,75.847,Murder,30-06-2023,13:50,10,Stormy,No
Kishangarh-Renwal,26.7536,75.565,Pickpocket,13-10-2023,7:13,8,Rainy,Yes
Gopalpura,26.8815,75.789,Assault,04-07-2023,7:1,1,Foggy,Yes
Mauzmabad,26.5215,75.488,Theft,26-06-2023,21:50,5,Clear,No
Mauzmabad,26.5215,75.488,Vandalism,22-07-2023,12:36,4,Cloudy,No
Jaipur,26.9124,75.7873,Theft,03-06-2023,16:28,1,Clear,Yes
Ajmer Road,26.9117,75.7437,Murder,16-02-2023,6:41,3,Clear,No
Tonk Road,26.8537,75.805,Pickpocket,06-11-2023,18:16,4,Rainy,Yes
Dudu,26.7043,75.585,Pickpocket,20-09-2023,12:13,8,Rainy,Yes
Bassi,26.8394,76.0411,Burglary,29-07-2023,20:15,2,Foggy,No
Jaipur,26.9124,75.7873,Vandalism,28-04-2023,15:52,1,Clear,Yes
Bapu Nagar,26.8926,75.812,Fraud,17-01-2023,8:3,6,Clear,No
Kot Khawada,26.7972,75.67,Robbery,30-03-2023,23:42,4,Stormy,Yes
Tonk Road,26.8537,75.805,Burglary,29-01-2023,10:22,9,Rainy,Yes
Jagatpura,26.8626,75.847,Theft,11-10-2023,0:11,2,Foggy,No
Malviya Nagar,26.8526,75.818,Assault,09-03-2023,6:32,4,Cloudy,Yes
Sindhi Camp,26.9216,75.796,Fraud,08-08-2023,1:41,9,Rainy,No
Phagi,26.5873,75.6671,Fraud,02-09-2023,19:1,3,Rainy,No
Mauzmabad,26.5215,75.488,Assault,16-02-2023,11:13,7,Stormy,No
Mauzmabad,26.5215,75.488,Theft,12-06-2023,11:7,7,Rainy,No
Phagi,26.5873,75.6671,Vandalism,20-06-2023,22:48,1,Foggy,Yes
Shahpura,27.3913,75.9595,Pickpocket,25-01-2023,13:21,4,Stormy,No
Dudu,26.7043,75.585,Burglary,28-10-2023,12:31,3,Clear,Yes
Tonk Road,26.8537,75.805,Assault,08-03-2023,4:40,6,Stormy,No
Shahpura,27.3913,75.9595,Pickpocket,24-10-2023,21:9,6,Cloudy,Yes
Amber,26.9948,75.8513,Burglary,09-11-2023,8:13,4,Stormy,Yes
Raja Park,26.8996,75.8277,Assault,14-11-2023,21:34,3,Foggy,No
Sambhar,26.9131,75.1914,Murder,14-04-2023,7:13,9,Rainy,No
Mansarovar,26.8648,75.759,Theft,28-03-2023,4:43,8,Stormy,No
Jaipur,26.9124,75.7873,Murder,20-02-2023,10:43,2,Clear,No
Kot Khawada,26.7972,75.67,Burglary,26-06-2023,13:12,4,Cloudy,No
Jaipur,26.9124,75.7873,Burglary,08-07-2023,0:53,8,Stormy,No
Chaksu,26.6052,75.9481,Burglary,07-09-2023,0:51,2,Stormy,No
Ajmer Road,26.9117,75.7437,Murder,12-10-2023,10:45,9,Foggy,Yes
Kot Khawada,26.7972,75.67,Theft,29-07-2023,0:52,8,Foggy,Yes
Phagi,26.5873,75.6671,Pickpocket,26-09-2023,7:26,5,Rainy,Yes
Vaishali Nagar,26.922,75.7411,Theft,08-09-2023,3:29,7,Rainy,No
Kishangarh-Renwal,26.7536,75.565,Robbery,24-06-2023,23:50,7,Foggy,Yes
Mansarovar,26.8648,75.759,Fraud,30-06-2023,20:16,4,Cloudy,No
Kot Khawada,26.7972,75.67,Theft,21-11-2023,18:18,6,Foggy,Yes
Vaishali Nagar,26.922,75.7411,Murder,27-09-2023,9:2,7,Clear,Yes
Dudu,26.7043,75.585,Theft,06-03-2023,20:3,2,Stormy,No
Mauzamabad,26.5215,75.488,Murder,11-03-2023,20:22,2,Cloudy,No
Raja Park,26.8996,75.8277,Pickpocket,02-04-2023,17:52,8,Rainy,Yes
Bapu Nagar,26.8926,75.812,Burglary,28-06-2023,10:40,9,Clear,No
Jagatpura,26.8626,75.847,Pickpocket,19-08-2023,13:20,6,Rainy,Yes
Amber,26.9948,75.8513,Pickpocket,21-11-2023,12:6,1,Foggy,Yes
Gopalpura,26.8815,75.789,Theft,25-03-2023,2:56,1,Cloudy,Yes
Dudu,26.7043,75.585,Burglary,01-06-2023,23:27,8,Cloudy,Yes
Jagatpura,26.8626,75.847,Murder,20-08-2023,0:38,4,Rainy,Yes
Viratnagar,27.3189,76.1833,Pickpocket,26-10-2023,18:12,5,Clear,No
Bapu Nagar,26.8926,75.812,Robbery,14-05-2023,22:44,3,Cloudy,Yes
Jagatpura,26.8626,75.847,Fraud,28-10-2023,4:10,8,Rainy,No
Mauzmabad,26.5215,75.488,Burglary,13-06-2023,3:40,9,Foggy,Yes
Sanganer,26.8191,75.8028,Theft,20-11-2023,3:10,6,Rainy,No
Chomu,27.17,75.7221,Pickpocket,27-04-2023,11:9,6,Rainy,No
Sambhar,26.9131,75.1914,Robbery,25-09-2023,11:29,9,Rainy,No
Jagatpura,26.8626,75.847,Murder,20-09-2023,9:47,10,Foggy,Yes
Jagatpura,26.8626,75.847,Assault,02-01-2023,0:12,5,Stormy,No
Amber,26.9948,75.8513,Fraud,28-05-2023,20:3,6,Foggy,No
Sanganer,26.8191,75.8028,Fraud,05-03-2023,3:30,1,Clear,Yes
Kotputli,27.7025,76.1996,Burglary,30-12-2023,7:59,9,Stormy,Yes
Vaishali Nagar,26.922,75.7411,Theft,17-06-2023,3:20,6,Rainy,No
Kotputli,27.7025,76.1996,Theft,27-07-2023,19:54,9,Stormy,No
Jagatpura,26.8626,75.847,Burglary,30-08-2023,18:23,3,Clear,No
Sanganer,26.8191,75.8028,Burglary,21-12-2023,3:22,2,Foggy,Yes
Tonk Road,26.8537,75.805,Pickpocket,10-07-2023,7:37,1,Foggy,Yes
C-Scheme,26.9124,75.7873,Murder,05-09-2023,20:45,4,Cloudy,No
Mauzamabad,26.5215,75.488,Assault,09-05-2023,12:17,1,Cloudy,No
Chaksu,26.6052,75.9481,Theft,16-05-2023,13:1,3,Rainy,Yes
Mansarovar,26.8648,75.759,Theft,01-07-2023,9:13,5,Clear,Yes
Chaksu,26.6052,75.9481,Assault,11-06-2023,1:10,2,Stormy,No
Tonk Road,26.8537,75.805,Murder,31-05-2023,2:0,3,Foggy,No
Mauzmabad,26.5215,75.488,Theft,11-04-2023,10:1,6,Cloudy,Yes
